accession	W	M	obs_hotspots	obs_idr_hotspots	empirical_p_idr_enrichment
A0A0A0MT36	15	2	0	0	1.0
A0A0A0MT70	15	2	0	0	1.0
A0A0A0MT76	15	2	0	0	1.0
A0A0A0MT78	15	2	0	0	1.0
A0A0A0MT87	15	2	0	0	1.0
A0A0A0MT89	15	2	0	0	1.0
A0A0A0MT94	15	2	0	0	1.0
A0A0A0MTA4	15	2	0	0	1.0
A0A0A0MTA7	15	2	0	0	1.0
A0A0A6YYC5	15	2	0	0	1.0
A0A0A6YYD4	15	2	0	0	1.0
A0A0A6YYG2	15	2	0	0	1.0
A0A0A6YYG3	15	2	0	0	1.0
A0A0A6YYJ7	15	2	0	0	1.0
A0A0A6YYK1	15	2	0	0	1.0
A0A0A6YYK4	15	2	0	0	1.0
A0A0A6YYK6	15	2	0	0	1.0
A0A0A6YYK7	15	2	0	0	1.0
A0A0A6YYL3	15	2	0	0	1.0
A0A0B4J1U3	15	2	0	0	1.0
A0A0B4J1U4	15	2	0	0	1.0
A0A0B4J1U6	15	2	0	0	1.0
A0A0B4J1U7	15	2	0	0	1.0
A0A0B4J1V0	15	2	0	0	1.0
A0A0B4J1V1	15	2	0	0	1.0
A0A0B4J1V2	15	2	0	0	1.0
A0A096LPI5	15	2	0	0	1.0
A0A096LPK9	15	2	0	0	1.0
A0A0A0MRZ7	15	2	0	0	1.0
A0A0A0MRZ8	15	2	0	0	1.0
A0A0A0MRZ9	15	2	0	0	1.0
A0A0A0MS00	15	2	0	0	1.0
A0A0A0MS01	15	2	0	0	1.0
A0A0A0MS02	15	2	0	0	1.0
A0A0B4J1V6	15	2	0	0	1.0
A0A0B4J1V7	15	2	0	0	1.0
A0A0B4J1W7	15	2	0	0	1.0
A0A0B4J1X5	15	2	0	0	1.0
A0A0B4J1X8	15	2	0	0	1.0
A0A0B4J1Y8	15	2	0	0	1.0
A0A0B4J1Y9	15	2	0	0	1.0
A0A0B4J1Z2	15	2	0	0	1.0
A0A0B4J268	15	2	0	0	1.0
A0A0B4J271	15	2	0	0	1.0
A0A0B4J272	15	2	0	0	1.0
A0A0B4J273	15	2	0	0	1.0
A0A0B4J274	15	2	0	0	1.0
A0A0B4J275	15	2	0	0	1.0
A0A0B4J276	15	2	0	0	1.0
A0A0B4J277	15	2	0	0	1.0
A0A0B4J279	15	2	0	0	1.0
A0A0B4J280	15	2	0	0	1.0
A0A0B4J2A2	15	2	0	0	1.0
A0A0B4J2D9	15	2	0	0	1.0
A0A0B4J2E0	15	2	0	0	1.0
A0A0B4J2F0	15	2	0	0	1.0
A0A0B4J2H0	15	2	0	0	1.0
A0A0C4DGP1	15	2	0	0	1.0
A0A0B4J245	15	2	0	0	1.0
A0A0B4J248	15	2	0	0	1.0
A0A0B4J249	15	2	0	0	1.0
A0A0B4J262	15	2	0	0	1.0
A0A0B4J263	15	2	0	0	1.0
A0A0B4J264	15	2	0	0	1.0
A0A0B4J265	15	2	0	0	1.0
A0A0B4J266	15	2	0	0	1.0
A0A0C4DH24	15	2	0	0	1.0
A0A0C4DH25	15	2	0	0	1.0
A0A0C4DH26	15	2	0	0	1.0
A0A0C4DH27	15	2	0	0	1.0
A0A0C4DH28	15	2	0	0	1.0
A0A0C4DH29	15	2	0	0	1.0
A0A0C4DH30	15	2	0	0	1.0
A0A0C4DH31	15	2	0	0	1.0
A0A0C4DH32	15	2	0	0	1.0
A0A0C4DH33	15	2	0	0	1.0
A0A0C4DH34	15	2	0	0	1.0
A0A0C4DH35	15	2	0	0	1.0
A0A0C4DH36	15	2	0	0	1.0
A0A0C4DH38	15	2	0	0	1.0
A0A0C4DH39	15	2	0	0	1.0
A0A0C4DH41	15	2	0	0	1.0
A0A0B4J200	15	2	0	0	1.0
A0A0B4J234	15	2	0	0	1.0
A0A0B4J235	15	2	0	0	1.0
A0A0B4J237	15	2	0	0	1.0
A0A0B4J238	15	2	0	0	1.0
A0A0B4J240	15	2	0	0	1.0
A0A0B4J241	15	2	0	0	1.0
A0A0B4J244	15	2	0	0	1.0
A0A0C4DH42	15	2	0	0	1.0
A0A0C4DH43	15	2	0	0	1.0
A0A0C4DH55	15	2	0	0	1.0
A0A0C4DH59	15	2	0	0	1.0
A0A0C4DH62	15	2	0	0	1.0
A0A0C4DH67	15	2	0	0	1.0
A0A0C4DH68	15	2	0	0	1.0
A0A0C4DH69	15	2	0	0	1.0
A0A0C4DH72	15	2	0	0	1.0
A0A0C4DH73	15	2	0	0	1.0
A0A0C5B5G6	15	2	0	0	1.0
A0A0D9SF12	15	2	0	0	1.0
A0A0G2JMD5	15	2	0	0	1.0
A0A0G2JMI3	15	2	0	0	1.0
A0A0G2JS06	15	2	0	0	1.0
A0A0J9YVY3	15	2	0	0	1.0
A0A0J9YWL9	15	2	0	0	1.0
A0A0J9YWP8	15	2	0	0	1.0
A0A0J9YWX3	15	2	0	0	1.0
A0A0J9YX06	15	2	0	0	1.0
A0A0J9YX35	15	2	0	0	1.0
A0A0J9YX57	15	2	0	0	1.0
A0A0J9YX75	15	2	0	0	1.0
A0A0J9YX94	15	2	0	0	1.0
A0A0J9YXA8	15	2	0	0	1.0
A0A0J9YXG5	15	2	0	0	1.0
A0A0J9YXM7	15	2	0	0	1.0
A0A0J9YXQ4	15	2	0	0	1.0
A0A0J9YXV3	15	2	0	0	1.0
A0A0J9YXX1	15	2	0	0	1.0
A0A0J9YXY3	15	2	0	0	1.0
A0A0J9YY54	15	2	0	0	1.0
A0A0K0K1A3	15	2	0	0	1.0
A0A0K0K1A5	15	2	0	0	1.0
A0A0K0K1B3	15	2	0	0	1.0
A0A0K0K1C0	15	2	0	0	1.0
A0A0K0K1C4	15	2	0	0	1.0
A0A0K0K1D8	15	2	0	0	1.0
A0A0K0K1E9	15	2	0	0	1.0
A0A0K0K1G6	15	2	0	0	1.0
A0A0K0K1G8	15	2	0	0	1.0
A0A0K2S4Q6	15	2	0	0	1.0
A0A0U1RQE8	15	2	0	0	1.0
A0A0U1RQF7	15	2	0	0	1.0
A0A0U1RQG5	15	2	0	0	1.0
A0A0U1RQI7	15	2	0	0	1.0
A0A0U1RQS6	15	2	0	0	1.0
A0A0U1RR11	15	2	0	0	1.0
A0A0U1RR37	15	2	0	0	1.0
A0A0U1RRA0	15	2	0	0	1.0
A0A0U1RRE5	15	2	0	0	1.0
A0A0U1RRI6	15	2	0	0	1.0
A0A0U1RRK4	15	2	0	0	1.0
A0A0U1RRL7	15	2	0	0	1.0
A0A0U1RRN3	15	2	0	0	1.0
A0A0X1KG70	15	2	0	0	1.0
A0A1B0GTS1	15	2	0	0	1.0
A0A1B0GTU1	15	2	0	0	1.0
A0A1B0GTU2	15	2	0	0	1.0
A0A1B0GTW7	15	2	0	0	1.0
A0A1B0GTY4	15	2	0	0	1.0
A0A1B0GTZ2	15	2	0	0	1.0
A0A1B0GU29	15	2	0	0	1.0
A0A1B0GU33	15	2	0	0	1.0
A0A1B0GU71	15	2	0	0	1.0
A0A1B0GUA5	15	2	0	0	1.0
A0A1B0GUA6	15	2	0	0	1.0
A0A1B0GUA7	15	2	0	0	1.0
A0A1B0GUA9	15	2	0	0	1.0
A0A1B0GUC4	15	2	0	0	1.0
A0A1B0GUI7	15	2	0	0	1.0
A0A1B0GUJ8	15	2	0	0	1.0
A0A183	15	2	0	0	1.0
A0A1B0GTB2	15	2	0	0	1.0
A0A1B0GTC6	15	2	0	0	1.0
A0A1B0GTD5	15	2	0	0	1.0
A0A1B0GTH6	15	2	0	0	1.0
A0A1B0GTH9	15	2	0	0	1.0
A0A1B0GTI1	15	2	0	0	1.0
A0A1B0GTI8	15	2	0	0	1.0
A0A1B0GUQ0	15	2	0	0	1.0
A0A1B0GUS0	15	2	0	0	1.0
A0A1B0GUS4	15	2	0	0	1.0
A0A1B0GUT2	15	2	0	0	1.0
A0A1B0GUU1	15	2	0	0	1.0
A0A1B0GUV1	15	2	0	0	1.0
A0A1B0GUV7	15	2	0	0	1.0
A0A1B0GUW6	15	2	0	0	1.0
A0A1B0GUW7	15	2	0	0	1.0
A0A1B0GUX0	15	2	0	0	1.0
A0A1B0GUY1	15	2	0	0	1.0
A0A1B0GV03	15	2	0	0	1.0
A0A1B0GV22	15	2	0	0	1.0
A0A1B0GV85	15	2	0	0	1.0
A0A1B0GV90	15	2	0	0	1.0
A0A1B0GV96	15	2	0	0	1.0
A0A1B0GVB3	15	2	0	0	1.0
A0A1B0GVD1	15	2	0	0	1.0
A0A1B0GVG4	15	2	0	0	1.0
A0A1B0GVG6	15	2	0	0	1.0
A0A1B0GVH4	15	2	0	0	1.0
A0A1B0GVH6	15	2	0	0	1.0
A0A1B0GVH7	15	2	0	0	1.0
A0A1B0GVK7	15	2	0	0	1.0
A0A1B0GVM5	15	2	0	0	1.0
A0A1B0GVM6	15	2	0	0	1.0
A0A1B0GVN3	15	2	0	0	1.0
A0A1B0GVQ0	15	2	0	0	1.0
A0A1B0GVQ3	15	2	0	0	1.0
A0A1B0GVR7	15	2	0	0	1.0
A0A1B0GVS7	15	2	0	0	1.0
A0A1B0GVT2	15	2	0	0	1.0
A0A1B0GVV1	15	2	0	0	1.0
A0A1B0GVX0	15	2	0	0	1.0
A0A1B0GVY4	15	2	0	0	1.0
A0A1B0GVZ2	15	2	0	0	1.0
A0A1B0GVZ6	15	2	0	0	1.0
A0A1B0GVZ9	15	2	0	0	1.0
A0A1B0GW35	15	2	0	0	1.0
A0A1B0GW54	15	2	0	0	1.0
A0A1B0GW64	15	2	0	0	1.0
A0A1B0GWB2	15	2	0	0	1.0
A0A1B0GWG4	15	2	0	0	1.0
A0A1B0GWH4	15	2	0	0	1.0
A0A1B0GWH6	15	2	0	0	1.0
A0A1B0GWK0	15	2	0	0	1.0
A0A1B0GX31	15	2	0	0	1.0
A0A1B0GX49	15	2	0	0	1.0
A0A1B0GX51	15	2	0	0	1.0
A0A1B0GX56	15	2	0	0	1.0
A0A1B0GX68	15	2	0	0	1.0
A0A1B0GX78	15	2	0	0	1.0
A0A1B0GX95	15	2	0	0	1.0
A0A1B0GXF2	15	2	0	0	1.0
A0A1W2PP81	15	2	0	0	1.0
A0A1W2PP97	15	2	0	0	1.0
A0A1W2PPD8	15	2	0	0	1.0
A0A1W2PPE2	15	2	0	0	1.0
A0A1W2PPE3	15	2	0	0	1.0
A0A1W2PPF3	15	2	0	0	1.0
A0A1W2PPG7	15	2	0	0	1.0
A0A1W2PPH5	15	2	0	0	1.0
A0A1W2PPK0	15	2	0	0	1.0
A0A1W2PPL8	15	2	0	0	1.0
A0A1W2PPM1	15	2	0	0	1.0
A0A1W2PPW3	15	2	0	0	1.0
A0A1W2PQ09	15	2	0	0	1.0
A0A1W2PQ27	15	2	0	0	1.0
A0A1W2PQ64	15	2	0	0	1.0
A0A1W2PQ72	15	2	0	0	1.0
A0A1W2PQ73	15	2	0	0	1.0
A0A1W2PQC6	15	2	0	0	1.0
A0A1W2PQD8	15	2	0	0	1.0
A0A1W2PQJ5	15	2	0	0	1.0
A0A1W2PQL4	15	2	0	0	1.0
A0A1W2PQU2	15	2	0	0	1.0
A0A1W2PR19	15	2	0	0	1.0
A0A1W2PR48	15	2	0	0	1.0
A0A1W2PR64	15	2	0	0	1.0
A0A1W2PR75	15	2	0	0	1.0
A0A1W2PR82	15	2	0	0	1.0
A0A1W2PR95	15	2	0	0	1.0
A0A1W2PRP0	15	2	0	0	1.0
A0A1W2PRV1	15	2	0	0	1.0
A0A1W2PS18	15	2	0	0	1.0
A0A286YEV6	15	2	0	0	1.0
A0A286YEX9	15	2	0	0	1.0
A0A286YEY9	15	2	0	0	1.0
A0A286YF01	15	2	0	0	1.0
A0A286YF18	15	2	0	0	1.0
A0A286YF46	15	2	0	0	1.0
A0A286YF58	15	2	0	0	1.0
A0A286YF60	15	2	0	0	1.0
A0A286YF77	15	2	0	0	1.0
A0A286YFB4	15	2	0	0	1.0
A0A286YFG1	15	2	0	0	1.0
A0A286YFK9	15	2	0	0	1.0
A0A2R8Y2Y2	15	2	0	0	1.0
A0A2R8Y4L2	15	2	0	0	1.0
A0A2R8Y4Y8	15	2	0	0	1.0
A0A2R8Y619	15	2	0	0	1.0
A0A2R8Y7D0	15	2	0	0	1.0
A0A2R8Y7Y5	15	2	0	0	1.0
A0A2R8YCJ5	15	2	0	0	1.0
A0A3B3IT52	15	2	0	0	1.0
A0A3B3IU46	15	2	0	0	1.0
A0A3B3IU63	15	2	0	0	1.0
A0A411D538	15	2	0	0	1.0
A0A455ZAR2	15	2	0	0	1.0
A0A494BZU4	15	2	0	0	1.0
A0A494C071	15	2	0	0	1.0
A0A494C086	15	2	0	0	1.0
A0A577	15	2	0	0	1.0
A0A578	15	2	0	0	1.0
A0A584	15	2	0	0	1.0
A0A589	15	2	0	0	1.0
A0A590UK83	15	2	0	0	1.0
A0A597	15	2	0	0	1.0
A0A599	15	2	0	0	1.0
A0A5A2	15	2	0	0	1.0
A0A494C0N9	15	2	0	0	1.0
A0A494C0Y3	15	2	0	0	1.0
A0A494C0Z2	15	2	0	0	1.0
A0A494C103	15	2	0	0	1.0
A0A494C191	15	2	0	0	1.0
A0A494C1R9	15	2	0	0	1.0
A0A539	15	2	0	0	1.0
A0A576	15	2	0	0	1.0
A0A5A6	15	2	0	0	1.0
A0A5B0	15	2	0	0	1.0
A0A5B6	15	2	0	0	1.0
A0A5B7	15	2	0	0	1.0
A0A5B9	15	2	0	0	1.0
A0A5F9ZH02	15	2	0	0	1.0
A0A5F9ZHS7	15	2	0	0	1.0
A0A6I8PU40	15	2	0	0	1.0
A0A8V8TPE2	15	2	0	0	1.0
A0AUZ9	15	2	0	0	1.0
A0AV02	15	2	0	0	1.0
A0AV96	15	2	0	0	1.0
A0AVF1	15	2	0	0	1.0
A0AVI2	15	2	0	0	1.0
A0AVI4	15	2	0	0	1.0
A0AVK6	15	2	0	0	1.0
A0A7I2V3R4	15	2	0	0	1.0
A0A7L8Y648	15	2	0	0	1.0
A0A7P0TBJ1	15	2	0	0	1.0
A0A804HLA8	15	2	0	0	1.0
A0A8I5KQE6	15	2	0	0	1.0
A0A8I5KY20	15	2	0	0	1.0
A0A8V8TMC4	15	2	0	0	1.0
A0A8V8TNH8	15	2	0	0	1.0
A0AVT1	15	2	0	0	1.0
A0FGR8	15	2	0	0	1.0
A0FGR9	15	2	0	0	1.0
A0JD32	15	2	0	0	1.0
A0JD36	15	2	0	0	1.0
A0JD37	15	2	0	0	1.0
A0JLT2	15	2	0	0	1.0
A0JNW5	15	2	0	0	1.0
A0PJX0	15	2	0	0	1.0
A0PJX2	15	2	0	0	1.0
A0PJX4	15	2	0	0	1.0
A0PJX8	15	2	0	0	1.0
A0PJY2	15	2	0	0	1.0
A0PJZ0	15	2	0	0	1.0
A0PJZ3	15	2	0	0	1.0
A0PK00	15	2	0	0	1.0
A0JP26	15	2	0	0	1.0
A0M8Q6	15	2	0	0	1.0
A0MZ66	15	2	0	0	1.0
A0PG75	15	2	0	0	1.0
A0PJE2	15	2	0	0	1.0
A0PJK1	15	2	0	0	1.0
A0PJW6	15	2	0	0	1.0
A0PJW8	15	2	0	0	1.0
A0PK05	15	2	0	0	1.0
A0PK11	15	2	0	0	1.0
A0ZSE6	15	2	0	0	1.0
A1A4F0	15	2	0	0	1.0
A1A4G5	15	2	0	0	1.0
A1A4S6	15	2	0	0	1.0
A1A4V9	15	2	0	0	1.0
A1A4Y4	15	2	0	0	1.0
A1A519	15	2	0	0	1.0
A1A580	15	2	0	0	1.0
A1A5B4	15	2	0	0	1.0
A1A5C7	15	2	0	0	1.0
A1A5D9	15	2	0	0	1.0
A1E959	15	2	0	0	1.0
A1IGU5	15	2	0	0	1.0
A1KXE4	15	2	0	0	1.0
A1L188	15	2	0	0	1.0
A1L190	15	2	0	0	1.0
A1L1A6	15	2	0	0	1.0
A1L390	15	2	0	0	1.0
A1L3X0	15	2	0	0	1.0
A1L3X4	15	2	0	0	1.0
A1L429	15	2	0	0	1.0
A1L443	15	2	0	0	1.0
A1L453	15	2	0	0	1.0
A1L4H1	15	2	0	0	1.0
A1L4K1	15	2	0	0	1.0
A1L4L8	15	2	0	0	1.0
A1L4Q6	15	2	0	0	1.0
A1X283	15	2	0	0	1.0
A1XBS5	15	2	0	0	1.0
A1YPR0	15	2	0	0	1.0
A1KZ92	15	2	0	0	1.0
A1L020	15	2	0	0	1.0
A1L0T0	15	2	0	0	1.0
A1L157	15	2	0	0	1.0
A1L162	15	2	0	0	1.0
A1L167	15	2	0	0	1.0
A1L168	15	2	0	0	1.0
A1L170	15	2	0	0	1.0
A1Z1Q3	15	2	0	0	1.0
A2A288	15	2	0	0	1.0
A2A2V5	15	2	0	0	1.0
A2A2Y4	15	2	0	0	1.0
A2A2Z9	15	2	0	0	1.0
A2A368	15	2	0	0	1.0
A2A3K4	15	2	0	0	1.0
A2A3L6	15	2	0	0	1.0
A2A3N6	15	2	0	0	1.0
A2AJT9	15	2	0	0	1.0
A2CJ06	15	2	0	0	1.0
A2IDD5	15	2	0	0	1.0
A2JGV3	15	2	0	0	1.0
A2NJV5	15	2	0	0	1.0
A2PYH4	15	2	0	0	1.0
A2RRD8	15	2	0	0	1.0
A2RRH5	15	2	0	0	1.0
A2RRL7	15	2	0	0	1.0
A2RRP1	15	2	0	0	1.0
A2RTX5	15	2	0	0	1.0
A2RTY3	15	2	0	0	1.0
A2RU14	15	2	0	0	1.0
A2RU30	15	2	0	0	1.0
A2RU37	15	2	0	0	1.0
A2RU48	15	2	0	0	1.0
A2RU49	15	2	0	0	1.0
A2RU54	15	2	0	0	1.0
A2RU67	15	2	0	0	1.0
A2RUB1	15	2	0	0	1.0
A2RUB6	15	2	0	0	1.0
A2RUC4	15	2	0	0	1.0
A2RUH7	15	2	0	0	1.0
A2VEC9	15	2	0	0	1.0
A3KFT3	15	2	0	0	1.0
A3KMH1	15	2	0	0	1.0
A3KN83	15	2	0	0	1.0
A3QJZ6	15	2	0	0	1.0
A3QJZ7	15	2	0	0	1.0
A4D0S4	15	2	0	0	1.0
A4D0T7	15	2	0	0	1.0
A2RUQ5	15	2	0	0	1.0
A2RUR9	15	2	0	0	1.0
A2RUS2	15	2	0	0	1.0
A2RUT3	15	2	0	0	1.0
A2RUU4	15	2	0	0	1.0
A2VCK2	15	2	0	0	1.0
A2VDF0	15	2	0	0	1.0
A2VDJ0	15	2	0	0	1.0
A4D0V7	15	2	0	0	1.0
A4D0Y5	15	2	0	0	1.0
A4D126	15	2	0	0	1.0
A4D161	15	2	0	0	1.0
A4D1B5	15	2	0	0	1.0
A4D1E1	15	2	0	0	1.0
A4D1E9	15	2	0	0	1.0
A4D1F6	15	2	0	0	1.0
A4D1N5	15	2	0	0	1.0
A4D1P6	15	2	0	0	1.0
A4D1S0	15	2	0	0	1.0
A4D1S5	15	2	0	0	1.0
A4D1T9	15	2	0	0	1.0
A4D1U4	15	2	0	0	1.0
A4D1Z8	15	2	0	0	1.0
A4D250	15	2	0	0	1.0
A4FU28	15	2	0	0	1.0
A4FU49	15	2	0	0	1.0
A4FU69	15	2	0	0	1.0
A4GXA9	15	2	0	0	1.0
A4IF30	15	2	0	0	1.0
A4QMS7	15	2	0	0	1.0
A4QN01	15	2	0	0	1.0
A4QPB2	15	2	0	0	1.0
A4D256	15	2	0	0	1.0
A4D263	15	2	0	0	1.0
A4D2B0	15	2	0	0	1.0
A4D2B8	15	2	0	0	1.0
A4D2G3	15	2	0	0	1.0
A4D2H0	15	2	0	0	1.0
A4D2P6	15	2	0	0	1.0
A4FU01	15	2	0	0	1.0
A4QPH2	15	2	0	0	1.0
A4UGR9	15	2	0	0	1.0
A5A3E0	15	2	0	0	1.0
A5D6W6	15	2	0	0	1.0
A5D8T8	15	2	0	0	1.0
A5D8V6	15	2	0	0	1.0
A5D8V7	15	2	0	0	1.0
A5D8W1	15	2	0	0	1.0
A5LHX3	15	2	0	0	1.0
A5PKW4	15	2	0	0	1.0
A5PL33	15	2	0	0	1.0
A5PLK6	15	2	0	0	1.0
A5PLL1	15	2	0	0	1.0
A5PLL7	15	2	0	0	1.0
A5PLN7	15	2	0	0	1.0
A5PLN9	15	2	0	0	1.0
A5X5Y0	15	2	0	0	1.0
A5YKK6	15	2	0	0	1.0
A5YM69	15	2	0	0	1.0
A5YM72	15	2	0	0	1.0
A6BM72	15	2	0	0	1.0
A6H8M9	15	2	0	0	1.0
A6H8Y1	15	2	0	0	1.0
A6H8Z2	15	2	0	0	1.0
A6NC05	15	2	0	0	1.0
A6NC42	15	2	0	0	1.0
A6NC51	15	2	0	0	1.0
A6NC57	15	2	0	0	1.0
A6NC62	15	2	0	0	1.0
A6NC78	15	2	0	0	1.0
A6NC86	15	2	0	0	1.0
A6NC97	15	2	0	0	1.0
A6NCJ1	15	2	0	0	1.0
A6NCK2	15	2	0	0	1.0
A6NCL1	15	2	0	0	1.0
A6NCL2	15	2	0	0	1.0
A6NCL7	15	2	0	0	1.0
A6NCM1	15	2	0	0	1.0
A6NCN2	15	2	0	0	1.0
A6NCN8	15	2	0	0	1.0
A6NC98	15	2	0	0	1.0
A6NCC3	15	2	0	0	1.0
A6NCE7	15	2	0	0	1.0
A6NCF5	15	2	0	0	1.0
A6NCF6	15	2	0	0	1.0
A6NCI4	15	2	0	0	1.0
A6NCI5	15	2	0	0	1.0
A6NCI8	15	2	0	0	1.0
A6ND48	15	2	0	0	1.0
A6ND91	15	2	0	0	1.0
A6NDA9	15	2	0	0	1.0
A6NDB9	15	2	0	0	1.0
A6NDD5	15	2	0	0	1.0
A6NDE4	15	2	0	0	1.0
A6NDE8	15	2	0	0	1.0
A6NDG6	15	2	0	0	1.0
A0A1B0GTJ6	15	2	0	0	1.0
A0A1B0GTK4	15	2	0	0	1.0
A0A1B0GTK5	15	2	0	0	1.0
A0A1B0GTL2	15	2	0	0	1.0
A0A1B0GTQ4	15	2	0	0	1.0
A0A1B0GTR0	15	2	0	0	1.0
A0A1B0GTR3	15	2	0	0	1.0
A0A1B0GTR4	15	2	0	0	1.0
A6NDR6	15	2	0	0	1.0
A6NDS4	15	2	0	0	1.0
A6NDU8	15	2	0	0	1.0
A6NDV4	15	2	0	0	1.0
A6NDX4	15	2	0	0	1.0
A6NDX5	15	2	0	0	1.0
A6NDY0	15	2	0	0	1.0
A6NDY2	15	2	0	0	1.0
A6NDH6	15	2	0	0	1.0
A6NDI0	15	2	0	0	1.0
A6NDK9	15	2	0	0	1.0
A6NDL7	15	2	0	0	1.0
A6NDL8	15	2	0	0	1.0
A6NDN3	15	2	0	0	1.0
A6NDN8	15	2	0	0	1.0
A6NDP7	15	2	0	0	1.0
A6NEF3	15	2	0	0	1.0
A6NEH6	15	2	0	0	1.0
A6NEH8	15	2	0	0	1.0
A6NEK1	15	2	0	0	1.0
A6NEL2	15	2	0	0	1.0
A6NEL3	15	2	0	0	1.0
A6NEM1	15	2	0	0	1.0
A6NEN9	15	2	0	0	1.0
A6NEQ0	15	2	0	0	1.0
A6NEQ2	15	2	0	0	1.0
A6NER0	15	2	0	0	1.0
A6NER3	15	2	0	0	1.0
A6NES4	15	2	0	0	1.0
A6NET4	15	2	0	0	1.0
A6NEV1	15	2	0	0	1.0
A6NEY8	15	2	0	0	1.0
A6NF01	15	2	0	0	1.0
A6NF34	15	2	0	0	1.0
A6NF36	15	2	0	0	1.0
A6NF83	15	2	0	0	1.0
A6NF89	15	2	0	0	1.0
A6NFA0	15	2	0	0	1.0
A6NFA1	15	2	0	0	1.0
A6NFC5	15	2	0	0	1.0
A6NFC9	15	2	0	0	1.0
A6NFD8	15	2	0	0	1.0
A6NFE2	15	2	0	0	1.0
A6NFE3	15	2	0	0	1.0
A6NFF2	15	2	0	0	1.0
A6NFH5	15	2	0	0	1.0
A6NFI3	15	2	0	0	1.0
A6NFK2	15	2	0	0	1.0
A6NFN3	15	2	0	0	1.0
A6NFN9	15	2	0	0	1.0
A6NFQ2	15	2	0	0	1.0
A6NFQ7	15	2	0	0	1.0
A6NFR6	15	2	0	0	1.0
A6NFT4	15	2	0	0	1.0
A6NFU0	15	2	0	0	1.0
A6NFU8	15	2	0	0	1.0
